,trainerID,name,pokelevel
0,0,Smeargle,60
1,1,Smeargle,30
2,2,Wailord,57
3,2,Vileplume,57
4,3,Armaldo,47
5,3,Cradily,47
6,4,Armaldo,56
7,4,Cradily,56
8,5,Carvanha,21
9,5,Numel,21
10,6,Sandslash,46
11,6,Ninetales,46
12,7,Weepinbell,24
13,7,Gloom,24
14,7,Ivysaur,24
15,8,Nidorino,39
16,8,Nidoking,39
17,9,Sandslash,39
18,9,Dugtrio,39
19,10,Rhyhorn,43
20,11,Persian,44
21,11,Ninetales,44
22,12,Ivysaur,42
23,12,Wartortle,42
24,12,Charmeleon,42
25,12,Charizard,42
26,13,Exeggutor,43
27,13,Cloyster,43
28,13,Arcanine,43
29,14,Parasect,43
30,14,Dewgong,43
31,14,Chansey,43
32,15,Kingler,43
33,15,Tentacruel,43
34,15,Blastoise,43
35,16,Bellsprout,43
36,16,Weepinbell,43
37,16,Victreebel,43
38,17,Ivysaur,24
39,17,Charmeleon,24
40,17,Wartortle,24
41,18,Charmeleon,27
42,19,Rapidash,36
43,20,Rapidash,39
44,21,Rapidash,43
45,22,Magneton,33
46,22,Quagsire,31
47,22,Exeggcute,31
48,23,Sandslash,35
49,24,Horsea,33
50,24,Horsea,33
51,24,Horsea,33
52,25,Electrode,35
53,25,Starmie,35
54,25,Ninetales,35
55,26,Horsea,34
56,26,Seadra,36
57,27,Butterfree,25
58,27,Bellossom,25
59,28,Dragonair,37
60,29,Poliwhirl,28
61,30,Seadra,37
62,31,Victreebel,32
63,31,Kingler,32
64,31,Flareon,32
65,32,Victreebel,35
66,32,Kingler,35
67,32,Flareon,35
68,33,Victreebel,39
69,33,Kingler,39
70,33,Flareon,39
71,34,Eevee,26
72,34,Vaporeon,22
73,34,Jolteon,22
74,34,Flareon,22
75,35,Goldeen,22
76,35,Seaking,24
77,36,Parasect,33
78,36,Golduck,35
79,37,Staryu,24
80,37,Starmie,26
81,38,Pikachu,36
82,38,Blastoise,32
83,39,Shellder,26
84,39,Cloyster,28
85,40,Marill,27
86,40,Wartortle,24
87,40,Wartortle,24
88,41,Rhyhorn,38
89,41,Charmeleon,35
90,41,Wartortle,35
91,42,Skiploom,25
92,42,Ninetales,25
93,43,Dratini,34
94,43,Dragonair,36
95,44,Bulbasaur,32
96,44,Ivysaur,32
97,44,Venusaur,32
98,45,Dragonair,37
99,46,Charmander,26
100,46,Bulbasaur,26
101,46,Squirtle,26
102,47,Dratini,34
103,47,Dratini,34
104,47,Dratini,34
105,48,Ivysaur,38
106,48,Starmie,38
107,49,Starmie,31
108,49,Starmie,31
109,49,Nidoqueen,33
110,50,Starmie,34
111,50,Starmie,34
112,50,Nidoqueen,36
113,51,Starmie,37
114,51,Starmie,37
115,51,Nidoqueen,39
116,52,Pidgeot,25
117,52,Electabuzz,27
118,53,Flareon,35
119,53,Tangela,35
120,53,Tauros,35
121,54,Manectric,43
122,54,Muk,43
123,55,Gloom,35
124,55,Azumarill,35
125,56,Zangoose,27
126,57,Wingull,18
127,57,Numel,18
128,57,Roselia,18
129,58,Wingull,26
130,58,Numel,26
131,58,Roselia,26
132,59,Pelipper,29
133,59,Numel,29
134,59,Roselia,29
135,60,Pelipper,32
136,60,Numel,32
137,60,Roselia,32
