tjunction_id,pokedex_number,trainerID,pokelevel
0,235,0,60
1,235,1,30
2,235,147,60
3,235,148,30
4,235,154,60
5,235,155,30
6,235,301,60
7,235,302,30
8,235,448,60
9,235,449,30
10,235,595,60
11,235,596,30
12,235,742,60
13,235,743,30
14,235,1283,50
15,235,1356,99
16,235,1361,99
17,235,1524,60
18,235,1526,65
19,235,1530,62
20,235,1531,16
21,235,1532,16
22,235,1533,44
23,235,1534,58
24,235,1535,16
25,235,1535,16
26,235,1729,50
27,235,3078,20
28,235,3094,60
29,235,3095,30
30,235,3239,39
31,235,3245,31
32,235,3444,60
33,235,3445,60
34,235,3568,60
35,235,3569,30
36,235,4109,50
37,235,4182,99
38,235,4187,99
39,235,4350,60
40,235,4352,65
41,235,4356,62
42,235,4357,16
43,235,4358,16
44,235,4359,44
45,235,4360,58
46,235,4361,16
47,235,4361,16
48,235,4555,50
49,235,5904,20
50,235,5920,60
51,235,5921,30
52,235,6065,39
53,235,6071,31
54,235,6270,60
55,235,6271,60
56,235,6965,99
57,235,7056,50
58,235,7379,50
59,235,7629,50
60,235,8202,50
61,235,8203,50
62,235,8204,50
63,235,8205,50
64,235,8206,54
65,235,8253,50
66,235,9164,51
67,235,9165,52
68,235,9166,52
69,235,9322,50
70,235,9327,50
71,235,9341,50
72,235,9916,50
73,235,9919,50
74,235,9976,43
75,235,9977,51
76,235,9978,60
77,235,10835,53
78,235,11031,52
79,235,11031,51
80,235,11031,50
81,235,11031,50
82,235,11043,27
83,235,11078,50
84,321,2,57
85,321,131,42
86,321,149,57
87,321,156,57
88,321,285,42
89,321,303,57
90,321,432,42
91,321,450,57
92,321,579,42
93,321,597,57
94,321,726,42
95,321,744,57
96,321,873,42
97,321,1104,66
98,321,1141,63
99,321,1144,47
100,321,1239,43
101,321,1240,51
102,321,1441,50
103,321,1451,50
104,321,1575,50
105,321,1898,40
106,321,1950,41
107,321,2514,50
108,321,2518,50
109,321,2533,64
110,321,3021,40
111,321,3022,45
112,321,3023,51
113,321,3023,51
114,321,3024,56
115,321,3024,56
116,321,3232,44
117,321,3570,57
118,321,3699,42
119,321,3930,66
120,321,3967,63
121,321,3970,47
122,321,4065,43
123,321,4066,51
124,321,4267,50
125,321,4277,50
126,321,4401,50
127,321,4724,40
128,321,4776,41
129,321,5340,50
130,321,5344,50
131,321,5359,64
132,321,5847,40
133,321,5848,45
134,321,5849,51
135,321,5849,51
136,321,5850,56
137,321,5850,56
138,321,6058,44
139,321,7911,35
140,321,9344,40
141,321,9607,42
142,321,9608,48
143,321,9945,40
144,321,9950,41
145,321,9985,55
146,321,10040,51
147,321,10697,46
148,321,10849,50
149,321,11558,50
150,321,11561,50
151,45,2,57
152,45,149,57
153,45,156,57
154,45,303,57
155,45,450,57
156,45,597,57
157,45,744,57
158,45,1266,100
159,45,1267,100
160,45,1435,59
161,45,1455,50
162,45,1485,50
163,45,1514,36
164,45,1863,28
165,45,1926,36
166,45,1969,52
167,45,2511,52
168,45,2519,50
169,45,3112,44
170,45,3134,51
171,45,3135,51
172,45,3180,48
173,45,3181,48
174,45,3229,50
175,45,3233,34
176,45,3239,37
177,45,3441,60
178,45,3570,57
179,45,4092,100
180,45,4093,100
181,45,4261,59
182,45,4281,50
183,45,4311,50
184,45,4340,36
185,45,4689,28
186,45,4752,36
187,45,4795,52
188,45,5337,52
189,45,5345,50
190,45,5938,44
191,45,5960,51
192,45,5961,51
193,45,6006,48
194,45,6007,48
195,45,6055,50
196,45,6059,34
197,45,6065,37
198,45,6267,60
199,45,6430,32
200,45,6433,55
201,45,6440,32
202,45,6442,50
203,45,6443,50
204,45,6531,53
205,45,6844,50
206,45,7373,50
207,45,7583,34
208,45,7605,60
209,45,7746,41
210,45,7758,53
211,45,7822,50
212,45,8356,40
213,45,8375,40
214,45,8481,48
215,45,8758,51
216,45,8759,55
217,45,8759,55
218,45,8824,64
219,45,8871,41
220,45,9325,50
221,45,9336,50
222,45,9383,51
223,45,9384,51
224,45,9385,52
225,45,9420,50
226,45,9655,37
227,45,9719,38
228,45,9720,52
229,45,9929,31
230,45,10038,58
231,45,10094,50
232,45,10215,56
233,45,10351,100
234,45,10357,100
235,45,11048,50
236,45,11295,35
237,45,11335,47
238,348,3,47
239,348,4,56
240,348,150,47
241,348,151,56
242,348,157,47
243,348,158,56
244,348,304,47
245,348,305,56
246,348,451,47
247,348,452,56
248,348,598,47
249,348,599,56
250,348,745,47
251,348,746,56
252,348,1345,62
253,348,1557,50
254,348,1568,50
255,348,1575,50
256,348,1732,50
257,348,2528,50
258,348,2569,68
259,348,3079,50
260,348,3109,43
261,348,3111,64
262,348,3571,47
263,348,3572,56
264,348,4171,62
265,348,4383,50
266,348,4394,50
267,348,4401,50
268,348,4558,50
269,348,5354,50
270,348,5395,68
271,348,5905,50
272,348,5935,43
273,348,5937,64
274,348,7382,50
275,348,7948,50
276,348,8065,68
277,348,8849,62
278,348,9911,58
279,348,9934,41
280,348,9954,68
281,348,9985,57
282,348,10048,59
283,348,10056,50
284,348,10229,50
285,346,3,47
286,346,4,56
287,346,150,47
288,346,151,56
289,346,157,47
290,346,158,56
291,346,304,47
292,346,305,56
293,346,451,47
294,346,452,56
295,346,598,47
296,346,599,56
297,346,745,47
298,346,746,56
299,346,1453,50
300,346,1575,50
301,346,2512,50
302,346,2528,50
303,346,2551,64
304,346,3044,50
305,346,3045,100
306,346,3180,48
307,346,3181,48
308,346,3571,47
309,346,3572,56
310,346,4279,50
311,346,4401,50
312,346,5338,50
313,346,5354,50
314,346,5377,64
315,346,5870,50
316,346,5871,100
317,346,6006,48
318,346,6007,48
319,346,7376,50
320,346,7382,50
321,346,7948,50
322,346,8841,62
323,346,9266,40
324,346,9316,50
325,346,9390,57
326,346,9911,57
327,346,9930,44
328,346,10047,49
329,346,10048,59
330,346,10056,50
331,346,10084,50
332,346,11563,50
333,318,5,21
334,318,152,21
335,318,159,21
336,318,306,21
337,318,453,21
338,318,600,21
339,318,747,21
340,318,1398,20
341,318,1398,20
342,318,1399,32
343,318,1400,28
344,318,1402,28
345,318,1405,23
346,318,1406,24
347,318,1559,50
348,318,1714,32
349,318,1715,38
350,318,1731,50
351,318,1881,39
352,318,1899,39
353,318,2491,51
354,318,3047,50
355,318,3085,5
356,318,3148,34
357,318,3154,38
358,318,3201,50
359,318,3217,21
360,318,3270,18
361,318,3573,21
362,318,4224,20
363,318,4224,20
364,318,4225,32
365,318,4226,28
366,318,4228,28
367,318,4231,23
368,318,4232,24
369,318,4385,50
370,318,4540,32
371,318,4541,38
372,318,4557,50
373,318,4707,39
374,318,4725,39
375,318,5317,51
376,318,5873,50
377,318,5911,5
378,318,5974,34
379,318,5980,38
380,318,6027,50
381,318,6043,21
382,318,6096,18
383,318,6598,26
384,318,6598,26
385,318,6604,26
386,318,6605,30
387,318,6607,24
388,318,6608,33
389,318,6615,17
390,318,6618,25
391,318,6620,23
392,318,6626,26
393,318,6627,30
394,318,6629,31
395,318,6742,62
396,318,6761,29
397,318,6769,26
398,318,6778,27
399,318,6778,27
400,318,6792,17
401,318,6979,50
402,318,7054,50
403,318,7369,50
404,318,7968,50
405,318,9926,20
406,318,10006,42
407,318,10101,34
408,318,10102,40
409,318,10103,43
410,318,10106,33
411,318,10107,40
412,318,10108,43
413,318,10235,14
414,318,10424,26
415,318,10426,33
416,318,10426,33
417,318,10445,27
418,318,10446,27
419,318,10450,32
420,318,10450,32
421,318,10453,35
422,318,10461,27
423,318,10476,25
424,318,10477,31
425,318,10477,31
426,318,10502,34
427,318,10504,26
428,318,10505,26
429,318,10513,34
430,318,10523,26
431,318,10609,51
432,318,10609,51
433,318,10648,53
434,318,10648,53
435,318,10695,65
436,318,10721,26
437,318,10740,27
438,318,10847,25
439,318,11808,10
440,322,5,21
441,322,57,18
442,322,58,26
443,322,59,29
444,322,60,32
445,322,97,17
446,322,98,26
447,322,99,29
448,322,100,32
449,322,152,21
450,322,159,21
451,322,211,18
452,322,212,26
453,322,213,29
454,322,214,32
455,322,251,17
456,322,252,26
457,322,253,29
458,322,254,32
459,322,306,21
460,322,358,18
461,322,359,26
462,322,360,29
463,322,361,32
464,322,398,17
465,322,399,26
466,322,400,29
467,322,401,32
468,322,453,21
469,322,505,18
470,322,506,26
471,322,507,29
472,322,508,32
473,322,545,17
474,322,546,26
475,322,547,29
476,322,548,32
477,322,600,21
478,322,652,18
479,322,653,26
480,322,654,29
481,322,655,32
482,322,692,17
483,322,693,26
484,322,694,29
485,322,695,32
486,322,747,21
487,322,799,18
488,322,800,26
489,322,801,29
490,322,802,32
491,322,839,17
492,322,840,26
493,322,841,29
494,322,842,32
495,322,1198,20
496,322,1199,26
497,322,1299,33
498,322,1341,8
499,322,1560,50
500,322,1649,65
501,322,1654,36
502,322,1880,22
503,322,1893,21
504,322,3050,50
505,322,3267,14
506,322,3268,20
507,322,3275,50
508,322,3443,43
509,322,3573,21
510,322,3625,18
511,322,3626,26
512,322,3627,29
513,322,3628,32
514,322,3665,17
515,322,3666,26
516,322,3667,29
517,322,3668,32
518,322,4024,20
519,322,4025,26
520,322,4125,33
521,322,4167,8
522,322,4386,50
523,322,4475,65
524,322,4480,36
525,322,4706,22
526,322,4719,21
527,322,5876,50
528,322,6093,14
529,322,6094,20
530,322,6101,50
531,322,6269,43
532,322,6836,50
533,322,7117,18
534,322,7129,17
535,322,7132,23
536,322,7135,18
537,322,7139,26
538,322,7140,28
539,322,7141,30
540,322,7276,18
541,322,7369,50
542,322,7372,50
543,322,7517,23
544,322,7518,23
545,322,7524,22
546,322,7525,23
547,322,7531,18
548,322,7532,23
549,322,7533,25
550,322,7534,18
551,322,7538,25
552,322,7545,23
553,322,7883,20
554,322,7883,20
555,322,7884,32
556,322,7885,28
557,322,7887,18
558,322,7887,22
559,322,7888,26
560,322,7890,23
561,322,7891,24
562,322,8209,20
563,322,8210,27
564,322,8211,30
565,322,8212,32
566,322,8217,19
567,322,8218,29
568,322,8219,32
569,322,8220,34
570,322,8248,22
571,322,8249,27
572,322,8250,31
573,322,9271,36
574,322,9298,34
575,322,9299,32
576,322,9307,52
577,322,9404,25
578,322,9405,33
579,322,9419,50
580,322,9673,15
581,322,9686,15
582,322,9992,43
583,322,10227,50
584,322,10332,53
585,322,11055,36
586,322,11063,35
587,322,11567,16
588,322,11568,50
589,28,6,46
590,28,9,39
591,28,23,35
592,28,70,43
593,28,121,42
594,28,153,46
595,28,160,46
596,28,163,39
597,28,177,35
598,28,224,43
599,28,275,42
600,28,307,46
601,28,310,39
602,28,324,35
603,28,371,43
604,28,422,42
605,28,454,46
606,28,457,39
607,28,471,35
608,28,518,43
609,28,569,42
610,28,601,46
611,28,604,39
612,28,618,35
613,28,665,43
614,28,716,42
615,28,748,46
616,28,751,39
617,28,765,35
618,28,812,43
619,28,863,42
620,28,895,42
621,28,904,37
622,28,904,37
623,28,906,38
624,28,943,55
625,28,1009,56
626,28,1022,56
627,28,1023,59
628,28,1134,33
629,28,1265,100
630,28,1313,50
631,28,1658,32
632,28,1961,52
633,28,1962,50
634,28,2074,50
635,28,2826,31
636,28,2829,37
637,28,2834,17
638,28,2847,34
639,28,2860,34
640,28,2868,36
641,28,2913,42
642,28,2922,18
643,28,2933,26
644,28,3041,50
645,28,3136,38
646,28,3160,39
647,28,3224,37
648,28,3345,50
649,28,3352,50
650,28,3411,25
651,28,3574,46
652,28,3577,39
653,28,3591,35
654,28,3638,43
655,28,3689,42
656,28,3721,42
657,28,3730,37
658,28,3730,37
659,28,3732,38
660,28,3769,55
661,28,3835,56
662,28,3848,56
663,28,3849,59
664,28,3960,33
665,28,4091,100
666,28,4139,50
667,28,4484,32
668,28,4787,52
669,28,4788,50
670,28,4900,50
671,28,5652,31
672,28,5655,37
673,28,5660,17
674,28,5673,34
675,28,5686,34
676,28,5694,36
677,28,5739,42
678,28,5748,18
679,28,5759,26
680,28,5867,50
681,28,5962,38
682,28,5986,39
683,28,6050,37
684,28,6171,50
685,28,6178,50
686,28,6237,25
687,28,6828,60
688,28,6856,66
689,28,7105,27
690,28,7218,27
691,28,7219,32
692,28,7220,42
693,28,7221,46
694,28,7297,51
695,28,7305,58
